delivery,batsman,bowler
17.5,Virat Kohli,Morne Morkel
17.2,Shikhar Dhawan,Morne Morkel
14.5,Virat Kohli,Imran Tahir
13.6,Virat Kohli,Tabraiz Shamsi
13.1,Shikhar Dhawan,Tabraiz Shamsi
11.5,Shikhar Dhawan,Tabraiz Shamsi
11.4,Shikhar Dhawan,Tabraiz Shamsi
10.5,Shikhar Dhawan,Imran Tahir
8.6,Virat Kohli,Chris Morris
6.6,Shikhar Dhawan,Chris Morris
5.1,Shikhar Dhawan,Kagiso Rabada
3.4,Rohit Sharma,Kagiso Rabada
3.2,Rohit Sharma,Kagiso Rabada
2.4,Shikhar Dhawan,Morne Morkel
2.3,Shikhar Dhawan,Morne Morkel
